0.001	4.708768964	2.36	424.73946275356057159061	1.18000000000000000000
0.0001	2.427584890	1.45	823.86408328649631692179	.72500000000000000000
0.001	4.371826199	1.83	457.47472771389556330347	.91500000000000000000
0.0001	2.556566432	1.58	782.29924908910014195164	.79000000000000000000
0.00001	2.289415058	1.42	873.58558816642499780395	.71000000000000000000
0.001	4.324271979	1.57	462.50559856378543482914	.78500000000000000000
0.0001	2.890129105	1.89	692.01060829426165029399	.94500000000000000000
0.00001	2.323719441	1.40	860.68910244143367736277	.70000000000000000000
0.001	4.462354277	1.73	448.19390748700968728575	.86500000000000000000
0.0001	2.242301129	1.33	891.94086116878550615045	.66500000000000000000
0.001	4.259205108	1.78	469.57118741321719883699	.89000000000000000000
0.00001	3.044634058	2.07	656.89339405005105542966	1.03500000000000000000
