cell	client_exit	wall_s	final_summaries	client_episodes	client_steps	server_episodes	server_length_sum	episode_accounting	step_accounting	no_step_state_warnings	reconnects	all_valid
A1	0	559	10	100	10632	100	10632	true	true	0	0	true
A2	0	2022	10	200	53945	200	53945	true	true	0	0	true
